geo_type,region,transportation_type,alternative_name,sub_region,country,date,relative_mobility
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-01-13,100
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-01-14,104.27
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-01-15,110.75
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-01-16,114.74
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-01-17,143.45
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-01-18,160.47
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-01-19,129.23
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-01-20,125.31
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-01-21,106.55
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-01-22,106.14
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-01-23,110.12
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-01-24,136.83
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-01-25,140.95
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-01-26,104.77
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-01-27,102.26
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-01-28,105.36
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-01-29,105.03
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-01-30,111.06
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-01-31,137.06
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-02-01,138.02
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-02-02,89.61
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-02-03,99.24
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-02-04,103.04
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-02-05,106.6
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-02-06,112.5
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-02-07,142.76
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-02-08,139.93
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-02-09,107.14
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-02-10,104.54
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-02-11,109.18
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-02-12,111.92
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-02-13,124.24
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-02-14,151.42
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-02-15,143.9
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-02-16,121.3
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-02-17,118.05
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-02-18,114.36
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-02-19,119.57
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-02-20,128.97
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-02-21,150.93
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-02-22,145.44
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-02-23,104.75
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-02-24,107.62
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-02-25,111.04
